timestamp,totalCirculatingUSD
2023-04-20,81372689700
2023-04-21,81397398449
2023-04-22,80620559312
2023-04-23,81512950158
2023-04-24,81522960158
2023-04-25,81609928404
2023-04-26,81566488286
2023-04-27,81825900442
2023-04-28,81768396221
2023-04-29,81851142869
2023-04-30,81779465088
2023-05-01,81789475092
2023-05-02,81872638699
2023-05-03,82018490828
2023-05-04,82057450732
2023-05-05,82052222893
2023-05-06,82232217802
2023-05-07,82237227797
2023-05-08,82058136655
2023-05-09,82407679458
2023-05-10,82630992515
2023-05-11,82681713715
2023-05-12,82795872918
2023-05-13,82949452973
2023-05-14,82866669088
2023-05-15,82887081554
2023-05-16,82892086547
2023-05-17,82914914794
2023-05-18,82840018135
2023-05-19,82843573932
2023-05-20,82895728300
2023-05-21,82983629023
2023-05-22,82905728289
2023-05-23,82949208885
2023-05-24,83096587524
2023-05-25,83049248000
2023-05-26,83047999631
2023-05-27,83098239535
2023-05-28,83085039920
2023-05-29,83186342769
2023-05-30,83078793317
2023-05-31,83135276538
2023-06-01,83281686114
2023-06-02,83222845215
2023-06-03,83211773718
2023-06-04,83133645068
2023-06-05,83138645060
2023-06-06,83195143057
2023-06-07,83264482931
2023-06-08,83360868858
2023-06-09,83464345326
2023-06-10,83329997419
2023-06-11,83427007721
2023-06-12,83432012721
2023-06-13,83462067412
2023-06-14,83505217924
2023-06-15,83539459054
2023-06-16,83411982191
2023-06-17,83491500891
2023-06-18,83138397964
2023-06-19,83124427752
2023-06-20,83123427433
2023-06-21,83416435930
2023-06-22,83139152980
2023-06-23,83120533427
2023-06-24,83126689056
2023-06-25,83355547655
2023-06-26,83168628702
2023-06-27,83214509943
2023-06-28,83472308355
2023-06-29,83218925627
2023-06-30,83343774906
2023-07-01,83320859006
2023-07-02,83303778230
2023-07-03,83307610989
2023-07-04,83331873579
2023-07-05,83333734068
2023-07-06,83295588022
2023-07-07,83286152715
2023-07-08,83421106762
2023-07-09,83337768983
2023-07-10,83266954932
2023-07-11,83307041104
2023-07-12,83352634014
2023-07-13,83357216574
2023-07-14,83496653252
2023-07-15,83676595996
2023-07-16,83701143467
2023-07-17,83628525930
2023-07-18,83729629319
2023-07-19,83784430445
2023-07-20,83730306939
2023-07-21,83798446907
2023-07-22,83775338994
2023-07-23,83864119328
2023-07-24,83780338989
2023-07-25,83776962706
2023-07-26,83789146039
2023-07-27,83878723305
2023-07-28,83796155530
2023-07-29,83803836403
2023-07-30,83774337453
2023-07-31,83797285742
2023-08-01,83866668319
2023-08-02,83857171498
2023-08-03,83855454636
2023-08-04,83835156582
2023-08-05,83742625107
2023-08-06,83792031429
2023-08-07,83734320818
2023-08-08,83452899346
2023-08-09,83477652370
2023-08-10,83389373846
2023-08-11,83359474018
2023-08-12,83321948337
2023-08-13,83342878723
2023-08-14,83343295663
2023-08-15,83328343478
2023-08-16,83082121071
2023-08-17,82820995155
2023-08-18,82740286529
2023-08-19,82788657219
2023-08-20,82747742356
2023-08-21,82823608782
2023-08-22,82826097691
2023-08-23,82815209561
2023-08-24,82798717222
2023-08-25,82826258267
2023-08-26,82810006505
2023-08-27,82751198109
2023-08-28,82773976009
2023-08-29,82781936003
2023-08-30,82836705499
2023-08-31,82826068346
2023-09-01,82765281894
2023-09-02,82861296695
2023-09-03,82877292012
2023-09-04,82877292012
2023-09-05,82848493517
2023-09-06,82879652237
2023-09-07,82865513708
2023-09-08,82821764818
2023-09-09,82961584342
